id,resort_name,country,season_week_num,week_timeframe,avg_sqi,avg_snowfall_cm,avg_snow_depth_m,avg_sunshine_hours,avg_temp_max_c,avg_temp_min_c,avg_powder_days
1,Val Thorens,France,1,Wk 1 (Dec 01 - Dec 07),79.88,25.8,0.78,40.1,-3.8,-10.7,0.9
2,Val Thorens,France,2,Wk 2 (Dec 08 - Dec 14),87.97,30,0.97,39.8,-4.7,-11.5,1.1
3,Val Thorens,France,3,Wk 3 (Dec 15 - Dec 21),76.69,18.2,1.07,39.7,-4.3,-11.1,0.6
4,Val Thorens,France,4,Wk 4 (Dec 22 - Dec 28),88.94,23.3,1.13,41.8,-2.9,-9.4,0.9
5,Val Thorens,France,5,Wk 5 (Dec 29 - Jan 04),89.76,23,1.21,44.2,-3.8,-11,0.8
6,Val Thorens,France,6,Wk 6 (Jan 05 - Jan 11),93.3,23.8,1.33,38.6,-4.7,-11.2,1
7,Val Thorens,France,7,Wk 7 (Jan 12 - Jan 18),85.87,20.3,1.42,43.5,-4.9,-11.9,0.8
8,Val Thorens,France,8,Wk 8 (Jan 19 - Jan 25),78.65,16.2,1.5,48.1,-5.2,-12.4,0.6
9,Val Thorens,France,9,Wk 9 (Jan 26 - Feb 01),89.04,22.2,1.55,45,-4.3,-11.4,0.8
10,Val Thorens,France,10,Wk 10 (Feb 02 - Feb 08),80.46,17.8,1.62,48.5,-3.8,-11.5,0.6
11,Val Thorens,France,11,Wk 11 (Feb 09 - Feb 15),84.06,20,1.68,49.5,-4.1,-12,0.6
12,Val Thorens,France,12,Wk 12 (Feb 16 - Feb 22),71.96,12.8,1.69,56.2,-1.9,-9.8,0.4
13,Val Thorens,France,13,Wk 13 (Feb 23 - Mar 01),76.49,15.7,1.68,56,-1.7,-9.8,0.5
14,Val Thorens,France,14,Wk 14 (Mar 02 - Mar 08),85.99,21.4,1.77,56.8,-2.3,-10.2,0.6
15,Val Thorens,France,15,Wk 15 (Mar 09 - Mar 15),89.2,23,1.81,58.3,-1.1,-9.2,0.7
16,Val Thorens,France,16,Wk 16 (Mar 16 - Mar 22),68.9,11.4,1.82,65.2,-0.2,-8.2,0.3
17,Val Thorens,France,17,Wk 17 (Mar 23 - Mar 29),75.18,15.1,1.79,64.3,-0.6,-8.6,0.4
18,Val Thorens,France,18,Wk 18 (Mar 30 - Apr 05),76.26,15.9,1.82,66.2,0.7,-6.4,0.4
19,Val Thorens,France,19,Wk 19 (Apr 06 - Apr 12),64.97,11.4,1.71,73.2,2.7,-5.5,0.3
20,Val Thorens,France,20,Wk 20 (Apr 13 - Apr 19),64.86,11.7,1.6,73.7,2.4,-5.1,0.3
21,Val Thorens,France,21,Wk 21 (Apr 20 - Apr 26),60.79,9.5,1.47,74.7,3.3,-4.5,0.2
22,Val Thorens,France,22,Wk 22 (Apr 27 - May 03),58.54,8.2,1.36,42.3,3.3,-3.9,0.1
23,Courchevel,France,1,Wk 1 (Dec 01 - Dec 07),79.67,28.4,0.72,40.4,-0.6,-8.2,1.1
24,Courchevel,France,2,Wk 2 (Dec 08 - Dec 14),86.07,30.4,0.93,39.2,-1.6,-8.9,1
25,Courchevel,France,3,Wk 3 (Dec 15 - Dec 21),77.4,19.3,1.03,39.7,-1.4,-9,0.6
26,Courchevel,France,4,Wk 4 (Dec 22 - Dec 28),90.2,24,1.1,41.5,0.1,-7.6,1
27,Courchevel,France,5,Wk 5 (Dec 29 - Jan 04),92.07,24.4,1.18,43.8,-0.8,-9,0.9
28,Courchevel,France,6,Wk 6 (Jan 05 - Jan 11),95.5,27.1,1.29,38.8,-1.4,-8.6,1.1
29,Courchevel,France,7,Wk 7 (Jan 12 - Jan 18),86.82,21.7,1.38,43,-1.6,-10,0.7
30,Courchevel,France,8,Wk 8 (Jan 19 - Jan 25),80.88,17.8,1.48,48.5,-1.7,-10.2,0.6
