id,resort_name,country,date,temperature_2m_max,temperature_2m_min,snowfall_sum_cm,snow_depth_avg_m,sunshine_hours,sqi
1,Val Thorens,France,01/12/2006,1.1,-12.1,0,0.3,8.8,38.75
2,Val Thorens,France,02/12/2006,-0.1,-14.8,0.91,0.3,8.1,40.21
3,Val Thorens,France,03/12/2006,0.7,-3.2,0.77,0.32,7,30.36
4,Val Thorens,France,04/12/2006,-0.8,-2.9,3.43,0.35,0.2,22.24
5,Val Thorens,France,05/12/2006,3.9,-2.7,0,0.38,6.8,35.7
6,Val Thorens,France,06/12/2006,-2,-4.5,10.36,0.43,0,41.95
7,Val Thorens,France,07/12/2006,0.6,-8.8,0.42,0.51,7.7,41.48
8,Val Thorens,France,08/12/2006,-2.4,-7.3,12.25,0.52,2.1,50.04
9,Val Thorens,France,09/12/2006,-4.5,-9.7,5.18,0.68,6.2,48.41
10,Val Thorens,France,10/12/2006,-8.2,-16.9,0,0.68,8.3,31.5
11,Val Thorens,France,11/12/2006,-9.9,-25.8,0,0.67,8.6,31.38
12,Val Thorens,France,12/12/2006,-3.9,-13.9,0,0.67,7.1,33.69
13,Val Thorens,France,13/12/2006,-4.9,-19.6,0,0.66,8.6,31.25
14,Val Thorens,France,14/12/2006,-3.5,-9.9,0,0.65,8.6,43.12
15,Val Thorens,France,15/12/2006,-3.2,-9.3,0,0.64,8.6,43
16,Val Thorens,France,16/12/2006,-3,-10.4,0.7,0.64,7,42.24
17,Val Thorens,France,17/12/2006,-3.7,-5.9,1.82,0.65,4.1,38.72
18,Val Thorens,France,18/12/2006,-5.6,-8.3,1.33,0.66,6.8,43.13
19,Val Thorens,France,19/12/2006,-6.5,-14.8,0.21,0.65,8,35.46
20,Val Thorens,France,20/12/2006,-7.1,-18.1,0,0.65,8.2,31.12
21,Val Thorens,France,21/12/2006,-7.1,-14.3,0,0.64,8.5,35
22,Val Thorens,France,22/12/2006,-8.7,-18.6,0,0.63,8.1,30.88
23,Val Thorens,France,23/12/2006,-5.7,-14.3,0,0.63,8.5,34.88
24,Val Thorens,France,24/12/2006,-6.3,-12.6,0,0.63,8.5,34.88
25,Val Thorens,France,25/12/2006,-4.3,-10.6,0,0.62,8.5,42.75
26,Val Thorens,France,26/12/2006,-4.5,-10.1,0,0.62,8.6,42.75
27,Val Thorens,France,27/12/2006,-4.9,-10.9,0,0.61,8.6,42.62
28,Val Thorens,France,28/12/2006,-6.4,-12,0,0.61,8.6,34.62
29,Val Thorens,France,29/12/2006,-5.8,-13.2,0,0.6,8.6,34.5
30,Val Thorens,France,30/12/2006,-4.6,-13.1,0,0.6,8.6,34.5
31,Val Thorens,France,31/12/2006,0.9,-6.8,0.56,0.6,8.3,43.4
32,Val Thorens,France,01/01/2007,-1.5,-6.3,7.84,0.65,0,40.67
33,Val Thorens,France,02/01/2007,-6.8,-11.4,23.52,0.88,2.3,64.94
34,Val Thorens,France,03/01/2007,-7.2,-11.6,3.08,1.06,8,45.18
35,Val Thorens,France,04/01/2007,-3.5,-7.7,2.52,1.04,6.6,49.41
36,Val Thorens,France,05/01/2007,-4,-7.1,1.61,1.04,7.3,49.26
37,Val Thorens,France,06/01/2007,-2.9,-9,0,1.01,8.7,47.62
38,Val Thorens,France,07/01/2007,-2,-7,0.28,0.99,7,45.95
39,Val Thorens,France,08/01/2007,-4.1,-10.3,2.38,0.98,3.3,42.25
40,Val Thorens,France,09/01/2007,2.9,-5.4,1.82,1.01,7.6,41.79
41,Val Thorens,France,10/01/2007,1.8,-8,0,0.97,8.3,47.12
42,Val Thorens,France,11/01/2007,-1.3,-7.1,0,0.94,7.6,46
43,Val Thorens,France,12/01/2007,-1.9,-6.1,1.47,0.94,7.3,47.79
44,Val Thorens,France,13/01/2007,2.6,-9.9,0,0.93,8.7,46.62
45,Val Thorens,France,14/01/2007,0.2,-5.3,0,0.91,8.7,46.38
46,Val Thorens,France,15/01/2007,-0.9,-7.8,0,0.89,8.7,46.12
47,Val Thorens,France,16/01/2007,-1.8,-13,0,0.88,5.1,40.56
48,Val Thorens,France,17/01/2007,-2.1,-11.6,0,0.87,8.4,45.88
49,Val Thorens,France,18/01/2007,-1.4,-11.4,2.59,0.88,0.2,35.52
50,Val Thorens,France,19/01/2007,-0.2,-1.9,0.84,0.95,2.2,29.34
