id,resort_name,country,season,season_week_num,week_label,week_start_date,week_end_date,avg_temp_max_c,avg_temp_min_c,total_snowfall_cm,avg_snow_depth_m,total_sunshine_hours,avg_sqi,peak_sqi,powder_days_count
1,Val Thorens,France,06-Jul,1,Wk 1 06/07 (Dec 01 - Dec 07),01/12/2006,07/12/2006,0.5,-7,15.9,0.37,38.6,30.58,73.6,1
2,Val Thorens,France,06-Jul,2,Wk 2 06/07 (Dec 08 - Dec 14),08/12/2006,14/12/2006,-5.3,-14.7,17.4,0.65,49.5,36.85,77.08,1
3,Val Thorens,France,06-Jul,3,Wk 3 06/07 (Dec 15 - Dec 21),15/12/2006,21/12/2006,-5.2,-11.6,4.1,0.65,51.2,30.02,33.56,0
4,Val Thorens,France,06-Jul,4,Wk 4 06/07 (Dec 22 - Dec 28),22/12/2006,28/12/2006,-5.8,-12.7,0,0.62,59.4,26.71,27.6,0
5,Val Thorens,France,06-Jul,5,Wk 5 06/07 (Dec 29 - Jan 04),29/12/2006,04/01/2007,-4.1,-10,37.5,0.78,42.4,45.21,84.44,1
6,Val Thorens,France,06-Jul,6,Wk 6 06/07 (Jan 05 - Jan 11),05/01/2007,11/01/2007,-1.4,-7.7,6.1,0.99,49.8,36.54,42.24,0
7,Val Thorens,France,06-Jul,7,Wk 7 06/07 (Jan 12 - Jan 18),12/01/2007,18/01/2007,-0.8,-9.3,4.1,0.9,47.1,33.78,39.68,0
8,Val Thorens,France,06-Jul,8,Wk 8 06/07 (Jan 19 - Jan 25),19/01/2007,25/01/2007,-3.7,-10.7,21.3,0.98,33.9,41.62,85.72,1
9,Val Thorens,France,06-Jul,9,Wk 9 06/07 (Jan 26 - Feb 01),26/01/2007,01/02/2007,-6,-14.8,0,1.1,65,34.8,37,0
10,Val Thorens,France,06-Jul,10,Wk 10 06/07 (Feb 02 - Feb 08),02/02/2007,08/02/2007,-2,-10.4,8.6,1.05,46.2,39.65,49.88,0
11,Val Thorens,France,06-Jul,11,Wk 11 06/07 (Feb 09 - Feb 15),09/02/2007,15/02/2007,-3.2,-10.5,39.4,1.28,32,59.26,90.72,1
12,Val Thorens,France,06-Jul,12,Wk 12 06/07 (Feb 16 - Feb 22),16/02/2007,22/02/2007,-0.6,-11.3,1.1,1.34,57.6,41.1,42.6,0
13,Val Thorens,France,06-Jul,13,Wk 13 06/07 (Feb 23 - Mar 01),23/02/2007,01/03/2007,-3.3,-8.2,46.2,1.43,36.9,71.46,99.96,3
14,Val Thorens,France,06-Jul,14,Wk 14 06/07 (Mar 02 - Mar 08),02/03/2007,08/03/2007,0.4,-5.9,33,1.71,51.7,60.49,99.88,1
15,Val Thorens,France,06-Jul,15,Wk 15 06/07 (Mar 09 - Mar 15),09/03/2007,15/03/2007,0.7,-8.3,3.3,1.55,77.4,43.31,56.2,0
16,Val Thorens,France,06-Jul,16,Wk 16 06/07 (Mar 16 - Mar 22),16/03/2007,22/03/2007,-3.6,-11.3,21.8,1.54,69.1,53.86,100,1
17,Val Thorens,France,06-Jul,17,Wk 17 06/07 (Mar 23 - Mar 29),23/03/2007,29/03/2007,-3.5,-11.4,9.6,1.68,72.2,50.47,59.84,0
