resort_id,resort_name,country,domain_name,domain_pistes_km,local_pistes_km,domain_lifts,local_lifts,base_elevation_m,summit_elevation_m,station_elevation_m,mid_elevation_m
1,"Val Thorens",France,"Les 3 Vallées",600,150,161,30,1300,3230,2300,2265
2,Courchevel,France,"Les 3 Vallées",600,150,161,55,1100,2738,1850,1919
3,Méribel,France,"Les 3 Vallées",600,150,161,46,1100,2952,1450,2026
4,"Val d'Isère",France,"Espace Killy",300,150,87,48,1550,3456,1850,2503
5,Tignes,France,"Espace Killy",300,150,87,39,1550,3456,2100,2503
6,Chamonix,France,"Chamonix Mont-Blanc",150,150,52,52,1035,3842,1035,2438
7,"Les Arcs",France,Paradiski,425,200,121,52,1200,3226,1800,2213
8,"La Plagne",France,Paradiski,425,225,121,53,1250,3250,1970,2250
9,Avoriaz,France,"Les Portes du Soleil",580,75,165,29,960,2466,1800,1713
10,"Alpe d'Huez",France,"Alpe d'Huez Grand Domaine",250,250,70,70,1125,3330,1860,2227
11,"Les Deux Alpes",France,"Les 2 Alpes",250,250,70,70,1280,3568,1650,2424
12,Zermatt,Switzerland,"Matterhorn Ski Paradise",360,200,52,32,1562,3883,1620,2722
13,Verbier,Switzerland,"4 Vallées",412,412,67,67,821,3330,1500,2075
14,"St. Moritz",Switzerland,"Engadin St. Moritz",350,155,56,24,1720,3303,1822,2511
15,Saas-Fee,Switzerland,"Saas-Fee Valley",150,150,22,22,1480,3600,1800,2540
16,"Laax / Flims",Switzerland,LAAX,224,224,28,28,1100,3018,1100,2059
17,"Davos Klosters",Switzerland,"Davos Klosters Mountains",300,300,57,57,810,2844,1560,1827
18,"St. Anton am Arlberg",Austria,"Ski Arlberg",305,305,85,85,1304,2811,1304,2057
19,"Lech Zürs",Austria,"Ski Arlberg",305,120,85,32,1450,2450,1450,1950
20,Ischgl,Austria,"Silvretta Arena",239,239,45,45,1377,2872,1377,2124
21,Kitzbühel,Austria,KitzSki,233,233,54,54,800,2000,800,1400
22,Sölden,Austria,"Ötztal Valley",144,144,31,31,1350,3340,1377,2345
23,Mayrhofen,Austria,"Zillertal 3000",142,142,60,60,630,2500,630,1565
24,Saalbach-Hinterglemm,Austria,Skicircus,270,270,70,70,830,2096,1003,1463
25,"Cortina d'Ampezzo",Italy,"Dolomiti SuperSki",1200,120,450,27,1224,2828,1224,2026
26,"Val Gardena",Italy,"Dolomiti SuperSki",1200,175,450,79,1236,2518,1563,1877
27,Cervinia,Italy,"Matterhorn Ski Paradise",360,160,52,20,1524,3480,2050,2502
28,Livigno,Italy,"Livigno Ski Area",115,115,32,32,1816,2798,1816,2307
29,Grandvalira,Andorra,Grandvalira,210,210,62,62,1300,2640,1710,1970
30,Hemsedal,Norway,"Hemsedal Ski Center",NULL,NULL,NULL,NULL,620,1450,620,1035
